site,data.source,day,month,year,section,distance.m,ch.spawn,ch.hold,ch.live.total,ch.live.est,reliability,pi.spawn,pi.hold,pi.live.total,pi.live.est,reliability,co.live.total,co.live.est,reliability,so.live.total,so.live.est,reliability,ch.bear,ch.wolf,ch.senes,ch.unknown,ch.dead.total,ch.dead.est,pi.bear,pi.wolf,pi.senes,pi.unknown,pi.dead.total,pi.dead.est,co.dead total,co.dead.est,Pink.active.spawning,Chum.active.spawning,Coho.active.spawning,Fish.countability,Sky.brightness,Windy,Precipitation.type,Precipitation.intensity,Bankfull,Water.colour,Stream.visibility,Rational.estimated.live,Rational.estimated.dead,NOTES
Kunsoot Main,SFU,19,9,2014,8,800,3,0,3,,,118,0,118,,,10,,,0,,,0,11,99,50,160,,3,4,9,6,22,,38,,Start,Start,Start,Good,Medium,No,Rain,Light,Very low,Clear,Medium,,,
Kunsoot Main,SFU,19,9,2014,9,900,0,0,0,,,2,0,2,,,95,,,0,,,0,0,0,0,0,,0,1,0,1,2,,60,,Start,Start,Start,Good,Medium,No,Rain,Light,Very low,Clear,Medium,,,
Kunsoot Main,SFU,19,9,2014,10,1000,0,0,0,,,0,0,0,,,80,,,0,,,0,0,0,0,0,,0,0,0,0,0,,7,,Start,Start,Start,Good,Medium,No,Rain,Light,Very low,Clear,Medium,,,
Kunsoot Main,SFU,19,9,2014,total,1000,24,96,120,120,H,866,2040,2906,2906,H,255,255,H,0,0,H,17,23,313,140,493,506,219,249,866,819,2153,2184,153,153,Start,Start,Start,Good,Medium,No,Rain,Light,Very low,Clear,Medium,"Very good visibility, water clear and low, so all fish counted",Some bear kills probably missed in thick shrubs,"Water very low, stream actually disappears (splits, runs underground) for ~50m in transect 4-5 then reappears. All dead coho prespawn morts, ~30% of pink senescent pre-spawn mort."
Bullock Main,SFU,20,9,2014,estuary,0,0,93,93,,,0,32,32,,,0,,,0,,,24,5,209,25,263,,9,2,30,12,53,,0,,Start,Peak,,Good,Medium,No,None,,Below normal,Clear,High,,,
Bullock Main,SFU,20,9,2014,1,50,51,0,51,,,113,0,113,,,0,,,0,,,6,4,67,5,82,,6,4,12,5,27,,0,,Start,Peak,,Good,Medium,No,None,,Below normal,Clear,High,,,
Bullock Main,SFU,20,9,2014,2,100,175,0,175,,,75,0,75,,,0,,,0,,,4,0,79,8,91,,4,5,7,5,21,,0,,Start,Peak,,Good,Medium,No,None,,Below normal,Clear,High,,,
Bullock Main,SFU,20,9,2014,3,150,185,0,185,,,177,0,177,,,0,,,0,,,11,6,136,17,170,,12,7,6,10,35,,0,,Start,Peak,,Good,Medium,No,None,,Below normal,Clear,High,,,
Bullock Main,SFU,20,9,2014,4,200,139,0,139,,,60,0,60,,,0,,,0,,,0,6,44,9,59,,0,1,3,2,6,,0,,Start,Peak,,Good,Medium,No,None,,Below normal,Clear,High,,,
Bullock Main,SFU,20,9,2014,5,250,310,0,310,,,126,0,126,,,0,,,0,,,3,9,90,10,112,,2,2,2,3,9,,0,,Start,Peak,,Good,Medium,No,None,,Below normal,Clear,High,,,
Bullock Main,SFU,20,9,2014,6,300,282,0,282,,,121,0,121,,,0,,,0,,,3,14,58,11,86,,1,3,2,1,7,,0,,Start,Peak,,Good,Medium,No,None,,Below normal,Clear,High,,,
Bullock Main,SFU,20,9,2014,7,350 R,117,0,117,,,17,0,17,,,0,,,0,,,4,7,90,10,111,,0,0,1,1,2,,0,,Start,Peak,,Good,Medium,No,None,,Below normal,Clear,High,,,
Bullock Main,SFU,20,9,2014,8,400 R,288,0,288,,,3,0,3,,,0,,,0,,,8,5,113,18,144,,1,0,1,0,2,,0,,Start,Peak,,Good,Medium,No,None,,Below normal,Clear,High,,,
Bullock Main,SFU,20,9,2014,9,450 R,201,0,201,,,3,0,3,,,0,,,0,,,15,8,66,6,95,,0,0,1,0,1,,0,,Start,Peak,,Good,Medium,No,None,,Below normal,Clear,High,,,
Bullock Main,SFU,20,9,2014,10,500 R,68,0,68,,,2,0,2,,,0,,,0,,,5,0,50,7,62,,1,0,1,0,2,,0,,Start,Peak,,Good,Medium,No,None,,Below normal,Clear,High,,,
Bullock Main,SFU,20,9,2014,11,350 L,96,0,96,,,26,0,26,,,0,,,0,,,26,4,20,9,59,,0,0,1,2,3,,0,,Start,Peak,,Good,Medium,No,None,,Below normal,Clear,High,,,
Bullock Main,SFU,20,9,2014,12,400 L,53,0,53,,,15,0,15,,,0,,,0,,,5,6,24,8,43,,2,0,1,2,5,,0,,Start,Peak,,Good,Medium,No,None,,Below normal,Clear,High,,,
Bullock Main,SFU,20,9,2014,13,450 L,22,0,22,,,2,0,2,,,0,,,0,,,5,3,7,5,21,,0,0,2,0,2,,0,,Start,Peak,,Good,Medium,No,None,,Below normal,Clear,High,,,
Bullock Main,SFU,20,9,2014,14,500 L,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Start,Peak,,Good,Medium,No,None,,Below normal,Clear,High,,,
Bullock Main,SFU,20,9,2014,total,650,1987,93,2080,2080,H,740,32,772,772,H,0,0,H,0,0,H,119,77,1053,149,1388,1388,38,24,70,43,175,175,0,0,Start,Peak,,Good,Medium,No,None,,Below normal,Clear,High,,,"Stream forks at T7, forks counted separately. Many pre-spawn morts in T8 and T9"
Bullock Square,SFU,20,9,2014,estuary,0,0,15,15,,,0,7,7,,,0,,,0,,,0,0,1,1,2,,0,0,0,0,0,,0,,,Start,,Good,Bright,No,None,,Below normal,Clear,High,,,
Bullock Square,SFU,20,9,2014,1,50,38,0,38,,,2,0,2,,,0,,,0,,,0,0,1,0,1,,0,0,0,0,0,,0,,,Start,,Good,Bright,No,None,,Below normal,Clear,High,,,
Bullock Square,SFU,20,9,2014,2,100,16,0,16,,,0,0,0,,,0,,,0,,,0,0,2,0,2,,0,0,0,0,0,,0,,,Start,,Good,Bright,No,None,,Below normal,Clear,High,,,
Bullock Square,SFU,20,9,2014,3,150,8,0,8,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,Start,,Good,Bright,No,None,,Below normal,Clear,High,,,
Bullock Square,SFU,20,9,2014,4,200,4,0,4,,,0,0,0,,,0,,,0,,,0,0,1,1,2,,0,0,0,0,0,,0,,,Start,,Good,Bright,No,None,,Below normal,Clear,High,,,
Bullock Square,SFU,20,9,2014,5,250,5,0,5,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,Start,,Good,Bright,No,None,,Below normal,Clear,High,,,
Bullock Square,SFU,20,9,2014,total,250,71,15,86,86,H,2,7,9,9,H,0,0,H,0,0,H,0,0,4,1,5,5,0,0,0,0,0,0,0,0,,Start,,Good,Bright,No,None,,Below normal,Clear,High,,,
Fell,SFU,20,9,2014,estuary,0,0,28,28,,,0,0,0,,,0,,,0,,,0,0,2,0,2,,0,0,0,0,0,,0,,,Start,,Poor,Full,No,None,,Normal,DTDT,Low,,,
Fell,SFU,20,9,2014,1,25,17,0,17,,,0,0,0,,,0,,,0,,,0,0,1,0,1,,0,0,0,0,0,,0,,,Start,,Poor,Full,No,None,,Normal,DTDT,Low,,,
Fell,SFU,20,9,2014,total,25,17,28,45,60,M,0,0,0,0,M,0,0,M,0,0,M,0,0,3,0,3,3,0,0,0,0,0,0,0,0,,Start,,Poor,Full,No,None,,Normal,DTDT,Low,Pool below falls is very deep and dark.,Very easy to see dead.,
Mosquito Bay Right,SFU,21,9,2014,estuary,0,0,33,33,,,0,100,100,,,0,,,0,,,0,0,8,1,9,,2,0,1,1,4,,0,,Start,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,,,
Mosquito Bay Right,SFU,21,9,2014,1,50,47,0,47,,,19,0,19,,,0,,,0,,,3,0,8,2,13,,0,0,0,0,0,,0,,Start,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,,,
Mosquito Bay Right,SFU,21,9,2014,2,100,34,0,34,,,14,0,14,,,1,,,0,,,0,0,2,1,3,,1,0,4,0,5,,0,,Start,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,,,
Mosquito Bay Right,SFU,21,9,2014,3,150,19,0,19,,,30,0,30,,,0,,,0,,,0,0,2,1,3,,0,0,0,0,0,,0,,Start,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,,,
Mosquito Bay Right,SFU,21,9,2014,4,200,19,0,19,,,19,0,19,,,0,,,0,,,1,0,4,2,7,,1,0,0,0,1,,0,,Start,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,,,
Mosquito Bay Right,SFU,21,9,2014,5,250,52,0,52,,,53,0,53,,,0,,,0,,,0,1,13,2,16,,0,0,2,1,3,,0,,Start,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,,,
Mosquito Bay Right,SFU,21,9,2014,6,300,36,0,36,,,12,0,12,,,0,,,0,,,1,0,18,1,20,,0,0,0,1,1,,0,,Start,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,,,
Mosquito Bay Right,SFU,21,9,2014,7,350,33,0,33,,,13,0,13,,,0,,,0,,,0,0,12,0,12,,0,0,1,2,3,,0,,Start,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,,,
Mosquito Bay Right,SFU,21,9,2014,8,400,26,0,26,,,9,0,9,,,0,,,0,,,0,2,0,2,4,,0,0,0,0,0,,0,,Start,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,,,
Mosquito Bay Right,SFU,21,9,2014,total,400,266,33,299,299,H,169,100,269,269,H,1,1,H,0,0,H,5,3,67,12,87,87,4,0,8,5,17,17,0,0,Start,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,,,
Mosquito Bay Left,SFU,21,9,2014,estuary,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Start,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,"Stream small and clear, water level low, so estimated total=observed total","Stream small, banks fairly easy to walk, so estimated total=observed total",Estuary count included with Mosquito Right
Mosquito Bay Left,SFU,21,9,2014,1,50,43,0,43,,,9,0,9,,,0,,,0,,,4,0,2,0,6,,2,0,14,0,16,,0,,Start,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,"Stream small and clear, water level low, so estimated total=observed total","Stream small, banks fairly easy to walk, so estimated total=observed total",
Mosquito Bay Left,SFU,21,9,2014,2,100,49,0,49,,,15,0,15,,,0,,,0,,,2,0,5,1,8,,0,0,0,0,0,,0,,Start,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,"Stream small and clear, water level low, so estimated total=observed total","Stream small, banks fairly easy to walk, so estimated total=observed total",
Mosquito Bay Left,SFU,21,9,2014,3,150,10,0,10,,,0,0,0,,,0,,,0,,,0,1,1,0,2,,0,0,0,0,0,,0,,Start,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,"Stream small and clear, water level low, so estimated total=observed total","Stream small, banks fairly easy to walk, so estimated total=observed total",
Mosquito Bay Left,SFU,21,9,2014,4,200,1,0,1,,,0,0,0,,,0,,,0,,,0,0,1,0,1,,0,0,0,0,0,,0,,Start,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,"Stream small and clear, water level low, so estimated total=observed total","Stream small, banks fairly easy to walk, so estimated total=observed total",
Mosquito Bay Left,SFU,21,9,2014,5,250,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,1,1,,0,0,0,0,0,,0,,Start,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,"Stream small and clear, water level low, so estimated total=observed total","Stream small, banks fairly easy to walk, so estimated total=observed total",
Mosquito Bay Left,SFU,21,9,2014,6,300,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Start,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,"Stream small and clear, water level low, so estimated total=observed total","Stream small, banks fairly easy to walk, so estimated total=observed total",
Mosquito Bay Left,SFU,21,9,2014,total,300,103,0,103,103,H,24,0,24,24,H,0,0,H,0,0,H,6,1,9,2,18,18,2,0,14,0,16,16,0,0,Start,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,"Stream small and clear, water level low, so estimated total=observed total","Stream small, banks fairly easy to walk, so estimated total=observed total","Shared estuary with Mosquito Bay Right, estuary count included with Left"
Kill,SFU,21,9,2014,estuary,0,0,486,486,,,0,121,121,,,0,,,0,,,0,0,80,0,80,,0,0,0,0,0,,0,,Before,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,"Stream small and narrow, water level low, so estimated=observed","Stream small, banks easily walkable and thorough search for predated carcasses, so estimated=observed",Walked stream past point where any live or dead fish were found; ~30% of senescent dead pre-spawn morts
Kill,SFU,21,9,2014,0,50,15,0,15,,,0,0,0,,,0,,,0,,,0,0,61,0,61,,0,0,0,0,0,,0,,Before,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,"Stream small and narrow, water level low, so estimated=observed","Stream small, banks easily walkable and thorough search for predated carcasses, so estimated=observed",Walked stream past point where any live or dead fish were found; ~30% of senescent dead pre-spawn morts
Kill,SFU,21,9,2014,1,100,2,0,2,,,0,0,0,,,0,,,0,,,1,0,1,0,2,,0,0,0,0,0,,0,,Before,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,"Stream small and narrow, water level low, so estimated=observed","Stream small, banks easily walkable and thorough search for predated carcasses, so estimated=observed",Walked stream past point where any live or dead fish were found; ~30% of senescent dead pre-spawn morts
Kill,SFU,21,9,2014,2,150,14,0,14,,,0,0,0,,,0,,,0,,,0,0,2,0,2,,0,0,0,0,0,,0,,Before,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,"Stream small and narrow, water level low, so estimated=observed","Stream small, banks easily walkable and thorough search for predated carcasses, so estimated=observed",Walked stream past point where any live or dead fish were found; ~30% of senescent dead pre-spawn morts
Kill,SFU,21,9,2014,3,200,14,0,14,,,0,0,0,,,0,,,0,,,0,0,1,0,1,,0,0,0,0,0,,0,,Before,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,"Stream small and narrow, water level low, so estimated=observed","Stream small, banks easily walkable and thorough search for predated carcasses, so estimated=observed",Walked stream past point where any live or dead fish were found; ~30% of senescent dead pre-spawn morts
Kill,SFU,21,9,2014,4,250,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Before,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,"Stream small and narrow, water level low, so estimated=observed","Stream small, banks easily walkable and thorough search for predated carcasses, so estimated=observed",Walked stream past point where any live or dead fish were found; ~30% of senescent dead pre-spawn morts
Kill,SFU,21,9,2014,5,300,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Before,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,"Stream small and narrow, water level low, so estimated=observed","Stream small, banks easily walkable and thorough search for predated carcasses, so estimated=observed",Walked stream past point where any live or dead fish were found; ~30% of senescent dead pre-spawn morts
Kill,SFU,21,9,2014,total,300,45,486,531,531,H,0,121,121,121,H,0,0,H,0,0,H,1,0,145,0,146,146,0,0,0,0,0,0,0,0,Before,Start,,Excellent,Bright,No,None,,Below normal,Clear,High,"Stream small and narrow, water level low, so estimated=observed","Stream small, banks easily walkable and thorough search for predated carcasses, so estimated=observed",Walked stream past point where any live or dead fish were found; ~30% of senescent dead pre-spawn morts
Goatbushu,SFU,22,9,2014,estuary,0,0,10,10,,,0,121,121,,,0,,,0,,,17,9,2,28,56,,20,6,9,18,53,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,"Stream small, thorough search",thorough search,Stream forks after 50m; black bear seen at top between left and right fork
Goatbushu,SFU,22,9,2014,1,50,1,0,1,,,31,0,31,,,0,,,0,,,2,0,0,0,2,,0,1,1,0,2,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,"Stream small, thorough search",thorough search,Stream forks after 50m; black bear seen at top between left and right fork
Goatbushu,SFU,22,9,2014,2,100 R,2,0,2,,,73,0,73,,,0,,,0,,,4,0,0,2,6,,1,0,0,2,3,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,"Stream small, thorough search",thorough search,Stream forks after 50m; black bear seen at top between left and right fork
Goatbushu,SFU,22,9,2014,3,150 R,5,0,5,,,31,0,31,,,0,,,0,,,4,4,1,6,15,,3,1,0,0,4,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,"Stream small, thorough search",thorough search,Stream forks after 50m; black bear seen at top between left and right fork
Goatbushu,SFU,22,9,2014,4,200 R,7,0,7,,,42,0,42,,,0,,,0,,,6,1,0,0,7,,3,0,0,1,4,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,"Stream small, thorough search",thorough search,Stream forks after 50m; black bear seen at top between left and right fork
Goatbushu,SFU,22,9,2014,5,250 R,15,0,15,,,19,0,19,,,0,,,0,,,3,0,0,1,4,,0,0,0,0,0,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,"Stream small, thorough search",thorough search,Stream forks after 50m; black bear seen at top between left and right fork
Goatbushu,SFU,22,9,2014,6,300 R,2,0,2,,,2,0,2,,,4,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,"Stream small, thorough search",thorough search,Stream forks after 50m; black bear seen at top between left and right fork
Goatbushu,SFU,22,9,2014,7,325 R,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,"Stream small, thorough search",thorough search,Stream forks after 50m; black bear seen at top between left and right fork
Goatbushu,SFU,22,9,2014,8,100 L,0,0,0,,,7,0,7,,,0,,,0,,,0,0,0,0,0,,1,0,0,0,1,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,"Stream small, thorough search",thorough search,Stream forks after 50m; black bear seen at top between left and right fork
Goatbushu,SFU,22,9,2014,9,150 L,0,0,0,,,10,0,10,,,0,,,0,,,0,0,0,0,0,,1,0,0,0,1,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,"Stream small, thorough search",thorough search,Stream forks after 50m; black bear seen at top between left and right fork
Goatbushu,SFU,22,9,2014,10,200 L,0,0,0,,,10,0,10,,,0,,,0,,,0,0,0,0,0,,0,0,1,0,1,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,"Stream small, thorough search",thorough search,Stream forks after 50m; black bear seen at top between left and right fork
Goatbushu,SFU,22,9,2014,11,250 L,0,0,0,,,3,0,3,,,0,,,0,,,0,0,0,0,0,,1,0,0,0,1,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,"Stream small, thorough search",thorough search,Stream forks after 50m; black bear seen at top between left and right fork
Goatbushu,SFU,22,9,2014,12,275 L,0,0,0,,,7,0,7,,,0,,,0,,,0,0,0,0,0,,1,0,0,0,1,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,"Stream small, thorough search",thorough search,Stream forks after 50m; black bear seen at top between left and right fork
Goatbushu,SFU,22,9,2014,total,550,32,10,42,42,H,235,121,356,356,H,4,4,H,0,0,H,36,14,3,37,90,90,31,8,11,21,71,71,0,0,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,"Stream small, thorough search",thorough search,Stream forks after 50m; black bear seen at top between left and right fork
Fancy Right,SFU,26,9,2014,estuary,0,0,19,19,,,0,1,1,,,0,,,0,,,3,0,2,6,11,,0,0,0,0,0,,0,,,Start,,Good,Bright,No,Rain,Light,Below normal,Clear,High,,,"Many chum in very shallow water, levels have probably dropped; Midway through T3 there is a barrier waterfall which only 1 fish was able to pass, lots of eggs just before that falls"
Fancy Right,SFU,26,9,2014,1,50,32,0,32,,,0,0,0,,,0,,,0,,,2,0,17,0,19,,0,0,1,0,1,,0,,,Start,,Good,Bright,No,Rain,Light,Below normal,Clear,High,,,"Many chum in very shallow water, levels have probably dropped; Midway through T3 there is a barrier waterfall which only 1 fish was able to pass, lots of eggs just before that falls"
Fancy Right,SFU,26,9,2014,2,100,73,0,73,,,1,0,1,,,0,,,0,,,0,1,16,0,17,,0,0,0,0,0,,0,,,Start,,Good,Bright,No,Rain,Light,Below normal,Clear,High,,,"Many chum in very shallow water, levels have probably dropped; Midway through T3 there is a barrier waterfall which only 1 fish was able to pass, lots of eggs just before that falls"
Fancy Right,SFU,26,9,2014,3,150,43,0,43,,,0,0,0,,,0,,,0,,,7,0,3,3,13,,0,0,0,0,0,,0,,,Start,,Good,Bright,No,Rain,Light,Below normal,Clear,High,,,"Many chum in very shallow water, levels have probably dropped; Midway through T3 there is a barrier waterfall which only 1 fish was able to pass, lots of eggs just before that falls"
Fancy Right,SFU,26,9,2014,4,200,1,0,1,,,0,0,0,,,0,,,0,,,1,0,0,0,1,,0,0,0,0,0,,0,,,Start,,Good,Bright,No,Rain,Light,Below normal,Clear,High,,,"Many chum in very shallow water, levels have probably dropped; Midway through T3 there is a barrier waterfall which only 1 fish was able to pass, lots of eggs just before that falls"
Fancy Right,SFU,26,9,2014,5,250,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,Start,,Good,Bright,No,Rain,Light,Below normal,Clear,High,,,"Many chum in very shallow water, levels have probably dropped; Midway through T3 there is a barrier waterfall which only 1 fish was able to pass, lots of eggs just before that falls"
Fancy Right,SFU,26,9,2014,total,250,149,19,168,170,H,1,1,2,2,H,0,0,H,0,0,H,13,1,38,9,61,,0,0,1,0,1,1,0,0,,Start,,Good,Bright,No,Rain,Light,Below normal,Clear,High,,,"Many chum in very shallow water, levels have probably dropped; Midway through T3 there is a barrier waterfall which only 1 fish was able to pass, lots of eggs just before that falls"
Fancy Head,SFU,26,9,2014,estuary,0,0,7,7,,,0,2,2,,,0,,,0,,,15,0,5,5,25,,0,0,0,0,0,,0,,Start,Start,,Good,Bright,No,Rain,Light,Below normal,DTDT,Medium,Ends at 210 meters at falls,,
Fancy Head,SFU,26,9,2014,1,50,40,0,40,,,2,0,2,,,0,,,0,,,4,2,28,3,37,,0,0,1,0,1,,0,,Start,Start,,Good,Bright,No,Rain,Light,Below normal,DTDT,Medium,Ends at 210 meters at falls,,
Fancy Head,SFU,26,9,2014,2,100,55,0,55,,,1,0,1,,,0,,,0,,,1,0,35,1,37,,0,0,0,0,0,,0,,Start,Start,,Good,Bright,No,Rain,Light,Below normal,DTDT,Medium,Ends at 210 meters at falls,,
Fancy Head,SFU,26,9,2014,3,150,87,0,87,,,0,0,0,,,0,,,0,,,5,1,18,0,24,,1,0,0,0,1,,0,,Start,Start,,Good,Bright,No,Rain,Light,Below normal,DTDT,Medium,Ends at 210 meters at falls,,
Fancy Head,SFU,26,9,2014,4,200,35,0,35,,,0,0,0,,,0,,,0,,,3,1,2,0,6,,0,0,0,0,0,,0,,Start,Start,,Good,Bright,No,Rain,Light,Below normal,DTDT,Medium,Ends at 210 meters at falls,,
Fancy Head,SFU,26,9,2014,5,200,217,7,224,240,M,3,2,5,5,M,0,0,M,0,0,M,28,4,88,10,0,130,1,0,1,0,2,2,0,0,Start,Start,,Good,Bright,No,Rain,Light,Below normal,DTDT,Medium,Ends at 210 meters at falls,,
Jane,SFU,26,9,2014,estuary,0,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,Good,Bright,No,None,,Below normal,Clear,High,Tide high at time of count,,
Jane,SFU,26,9,2014,1,50,0,1,1,,,0,0,0,,,0,,,0,,,1,0,0,0,1,,0,0,0,0,0,,0,,,,,Good,Bright,No,None,,Below normal,Clear,High,Tide high at time of count,,
Jane,SFU,26,9,2014,2,100,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,Good,Bright,No,None,,Below normal,Clear,High,Tide high at time of count,,
Jane,SFU,26,9,2014,3,150,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,Good,Bright,No,None,,Below normal,Clear,High,Tide high at time of count,,
Jane,SFU,26,9,2014,4,200,0,0,0,,,0,0,0,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,,,,Good,Bright,No,None,,Below normal,Clear,High,Tide high at time of count,,
Jane,SFU,26,9,2014,total,200,0,1,1,1,H,0,0,0,0,H,0,0,H,0,0,H,1,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,Good,Bright,No,None,,Below normal,Clear,High,Tide high at time of count,,
Ada,SFU,26,9,2014,estuary,0,0,39,39,,,0,10,10,,,0,,,0,,,0,0,46,4,50,,0,0,1,1,2,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,,,
Ada,SFU,26,9,2014,1,50,130,0,130,,,0,0,0,,,0,,,0,,,2,0,70,0,72,,0,0,0,0,0,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,,,
Ada,SFU,26,9,2014,2,100,128,0,128,,,0,0,0,,,0,,,0,,,3,0,74,0,77,,0,0,0,0,0,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,,,
Ada,SFU,26,9,2014,3,150,162,0,162,,,0,0,0,,,0,,,0,,,2,0,90,0,92,,2,0,1,0,3,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,,,
Ada,SFU,26,9,2014,4,200,122,0,122,,,0,0,0,,,0,,,0,,,0,0,49,0,49,,0,0,0,0,0,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,,,
Ada,SFU,26,9,2014,5,250,103,0,103,,,2,0,2,,,6,,,0,,,0,0,87,0,87,,1,0,0,0,1,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,,,
Ada,SFU,26,9,2014,6,300,138,0,138,,,0,0,0,,,0,,,0,,,3,0,49,0,52,,0,0,0,0,0,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,,,
Ada,SFU,26,9,2014,7,350,122,0,122,,,0,0,0,,,31,,,0,,,0,0,30,0,30,,0,0,0,0,0,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,,,
Ada,SFU,26,9,2014,8,380,127,0,127,,,0,0,0,,,0,,,0,,,3,0,36,0,39,,0,0,0,0,0,,0,,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,,,
Ada,SFU,26,9,2014,total,380,1032,39,1071,1071,H,2,10,12,12,H,37,37,H,0,0,H,13,0,531,4,548,548,3,0,2,1,6,6,0,0,Start,Start,,Fair,Medium,No,None,,Normal,DTDT,Medium,,,
Troupe South,SFU,27,9,2014,estuary,0,0,1,1,,,0,0,0,,,0,,,0,,,2,0,0,0,2,,3,0,0,1,4,,0,,Start,Start,Start,Fair,Medium,No,Rain,Medium,Below normal,DTDT,Medium,,,
Troupe South,SFU,27,9,2014,1,50,2,0,2,,,3,0,3,,,0,,,0,,,0,0,0,0,0,,0,0,0,0,0,,0,,Start,Start,Start,Fair,Medium,No,Rain,Medium,Below normal,DTDT,Medium,,,
Troupe South,SFU,27,9,2014,2,100,0,0,0,,,0,0,0,,,0,,,0,,,0,1,0,0,1,,0,0,0,0,0,,0,,Start,Start,Start,Fair,Medium,No,Rain,Medium,Below normal,DTDT,Medium,,,
Troupe South,SFU,27,9,2014,3,150,3,0,3,,,0,0,0,,,0,,,0,,,0,4,3,0,7,,0,0,0,0,0,,2,,Start,Start,Start,Fair,Medium,No,Rain,Medium,Below normal,DTDT,Medium,,,
Troupe South,SFU,27,9,2014,4,200,0,0,0,,,1,0,1,,,31,,,0,,,0,0,0,0,0,,0,0,0,0,0,,9,,Start,Start,Start,Fair,Medium,No,Rain,Medium,Below normal,DTDT,Medium,,,
